zip_code,watch,c2
NULL,1,197
NULL,2,246
NULL,3,234
NULL,U,93
75001,1,2
75001,3,1
75001,U,1
75006,1,1
75006,2,1
75006,3,2
75006,U,2
75007,1,1
75007,2,1
75007,3,2
75019,1,9
75019,2,22
75019,3,7
75019,U,17
75024,3,1
75032,2,1
75040,1,3
75040,2,4
75040,3,3
75040,U,3
75041,1,1
75042,1,9
75042,2,2
75042,3,7
75042,U,4
75043,1,2
75043,2,2
75043,3,4
75043,U,1
75048,2,1
75048,3,2
75050,1,1
75051,1,34
75051,2,20
75051,3,22
75051,U,16
75052,1,4
75052,2,3
75052,3,4
75060,2,1
75060,3,2
75060,U,1
75062,1,2
75062,3,3
75074,2,1
75074,3,1
75074,U,1
75075,1,1
75080,1,5
75080,3,4
75080,U,1
75081,2,1
75081,3,2
75082,3,1
75087,1,1
75088,1,3
75088,2,11
75088,3,8
75088,U,9
75089,1,1
75089,2,6
75089,3,5
75089,U,3
75115,1,3
75115,2,6
75115,3,3
75116,1,15
75116,2,20
75116,3,13
75116,U,7
75126,1,1
75126,U,1
75134,1,11
75134,2,10
75134,3,22
75134,U,3
75137,2,1
75137,3,1
75141,1,1
75149,1,4
75149,2,3
75149,3,5
75149,U,1
75150,1,3
75150,2,4
75150,3,6
75154,1,2
75154,U,1
75159,1,3
75159,2,3
75159,3,1
75180,1,1
75180,2,2
75180,3,1
75181,1,1
75181,2,1
75181,3,2
75182,U,1
75201,1,1114
75201,2,877
75201,3,939
75201,U,522
75202,1,563
75202,2,664
75202,3,690
75202,U,216
75203,1,970
75203,2,845
75203,3,896
75203,U,352
75204,1,2099
75204,2,1284
75204,3,1485
75204,U,945
75205,1,167
75205,2,130
75205,3,131
75205,U,98
75206,1,1704
75206,2,1190
75206,3,1326
75206,U,647
75207,1,605
75207,2,587
75207,3,499
75207,U,277
75208,1,1254
75208,2,1118
75208,3,1058
75208,U,526
75209,1,540
75209,2,460
75209,3,364
75209,U,225
75210,1,555
75210,2,637
75210,3,877
75210,U,189
75211,1,2358
75211,2,2058
75211,3,2135
75211,U,862
75212,1,1025
75212,2,1016
75212,3,1053
75212,U,396
75214,1,1003
75214,2,730
75214,3,653
75214,U,408
75215,1,1527
75215,2,1444
75215,3,1594
75215,U,820
75216,1,2690
75216,2,2573
75216,3,2653
75216,U,882
75217,1,3394
75217,2,3070
75217,3,3355
75217,U,1020
75218,1,724
75218,2,700
75218,3,673
75218,U,298
75219,1,1212
75219,2,742
75219,3,829
75219,U,491
75220,1,2932
75220,2,1994
75220,3,2184
75220,U,899
75223,1,683
75223,2,572
75223,3,561
75223,U,240
75224,1,1431
75224,2,1183
75224,3,1279
75224,U,452
75225,1,250
75225,2,612
75225,3,639
75225,U,163
75226,1,616
75226,2,406
75226,3,550
75226,U,187
75227,1,2297
75227,2,2013
75227,3,1954
75227,U,753
75228,1,2868
75228,2,2444
75228,3,2392
75228,U,966
75229,1,1602
75229,2,1255
75229,3,1171
75229,U,654
75230,1,508
75230,2,567
75230,3,328
75230,U,292
75231,1,1796
75231,2,1881
75231,3,1947
75231,U,568
75232,1,1050
75232,2,1006
75232,3,1036
75232,U,424
75233,1,587
75233,2,457
75233,3,472
75233,U,235
75234,1,177
75234,2,209
75234,3,179
75234,U,59
75235,1,890
75235,2,854
75235,3,802
75235,U,597
75236,1,671
75236,2,483
75236,3,436
75236,U,267
75237,1,1217
75237,2,1639
75237,3,1604
75237,U,463
75238,1,1232
75238,2,913
75238,3,968
75238,U,463
75240,1,1266
75240,2,1213
75240,3,1319
75240,U,446
75241,1,1485
75241,2,1409
75241,3,1488
75241,U,755
75243,1,2805
75243,2,2672
75243,3,2799
75243,U,955
75244,1,286
75244,2,279
75244,3,268
75244,U,121
75246,1,136
75246,2,150
75246,3,153
75246,U,60
75247,1,859
75247,2,583
75247,3,535
75247,U,359
75248,1,595
75248,2,497
75248,3,462
75248,U,320
75249,1,347
75249,2,263
75249,3,245
75249,U,181
75251,1,314
75251,2,279
75251,3,237
75251,U,132
75252,1,400
75252,2,370
75252,3,366
75252,U,238
75253,1,689
75253,2,518
75253,3,498
75253,U,281
75254,1,752
75254,2,538
75254,3,531
75254,U,278
75287,1,1372
75287,2,1068
75287,3,993
75287,U,554
76018,3,1
